candidate_id,name_de,source_url,category_proposal,location_scope,reviewer_verdict,review_notes
MB-2025-01316,Umbau und bauliche Anpassung der Gehwege im Kreuzungsbereich Hertastraße/ Kranoldstraße,https://mein.berlin.de/vorhaben/2025-01316/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01304,Neugestaltung Dresdener Str. 127 zu einem Ort für alle Generationen,https://mein.berlin.de/vorhaben/2025-01304/,scope_review,official_register_navigation_point_not_footprint,,
MB-2025-01295,Kabelsanierung in der Altstadt Spandau,https://mein.berlin.de/vorhaben/2025-01295/,energy,official_register_navigation_point_not_footprint,,
MB-2025-01294,Carl-Bosch-Oberschule Sanierung und Erweiterung der Bestandsgebäude der ISS und der ehemaligen Kinderklinik,https://mein.berlin.de/vorhaben/2025-01294/,education,official_register_navigation_point_not_footprint,,
MB-2025-01292,„Von Drachen und Nixen“ – Neubau Spielplatz Zossener Straße,https://mein.berlin.de/vorhaben/2025-01292/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01290,Umgestaltung der Schillingstraße,https://mein.berlin.de/vorhaben/2025-01290/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01265,"Neubau ""Haus der Jugend"" am Werner-Voss-Damm 47",https://mein.berlin.de/vorhaben/2025-01265/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2025-01255,Christoph-Földerich-Grundschule Neubau Sporthalle und Sanierung Schulhof,https://mein.berlin.de/vorhaben/2025-01255/,education,official_register_navigation_point_not_footprint,,
MB-2025-01251,Neubau Götelstraße,https://mein.berlin.de/vorhaben/2025-01251/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01246,Neugestaltung Freifläche Neuenburgerstraße / Lindenstraße,https://mein.berlin.de/vorhaben/2025-01246/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01241,Bibliothek am Schäfersee  - Energetische Sanierung und Herstellung der Barrierefreiheit,https://mein.berlin.de/vorhaben/2025-01241/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2025-01233,Erneuerung Spielplatz Germaniastraße,https://mein.berlin.de/vorhaben/2025-01233/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01230,Erneuerung Spielplatz Götzstraße,https://mein.berlin.de/vorhaben/2025-01230/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01228,Neugestaltung Grünanlage,https://mein.berlin.de/vorhaben/2025-01228/,public_space,official_register_navigation_point_not_footprint,,
MB-2025-01224,Neugestaltung Blücherstraße zwischen Baerwaldstraße und Südstern,https://mein.berlin.de/vorhaben/2025-01224/,transport,official_register_navigation_point_not_footprint,,
MB-2025-01200,Neugestaltung Spielplatz Waldemarstraße,https://mein.berlin.de/vorhaben/2025-01200/,public_space,official_register_navigation_point_not_footprint,,
